Word,Length,Freq_HAL,Log_Freq_HAL
prime,5,22011,10
Henry,5,21994,10
header,6,21960,10
teaching,8,21953,10
rob,3,21934,10
compare,7,21932,10
typical,7,21919,10
log,3,21912,9.99
lie,3,21911,9.99
agreed,6,21890,9.99
proposed,8,21887,9.99
backup,6,21879,9.99
prepared,8,21850,9.99
increased,9,21849,9.99
economy,7,21828,9.99
advertising,11,21735,9.99
roll,4,21720,9.99
nations,7,21671,9.98
capable,7,21671,9.98
perfectly,9,21653,9.98
lake,4,21614,9.98
wolf,4,21576,9.98
silly,5,21570,9.98
represent,9,21567,9.98
reduce,6,21540,9.98
hardly,6,21524,9.98
protocol,8,21507,9.98
task,4,21503,9.98
council,7,21497,9.98
accurate,8,21492,9.98
dealing,7,21491,9.98
spell,5,21472,9.97
Atlanta,7,21442,9.97
hundreds,8,21427,9.97
competition,11,21416,9.97
partition,9,21415,9.97
occur,5,21415,9.97
stuck,5,21401,9.97
titles,6,21394,9.97
binary,6,21393,9.97
announced,9,21360,9.97
summary,7,21338,9.97
appeared,8,21332,9.97
weather,7,21328,9.97
crap,4,21328,9.97
yesterday,9,21313,9.97
marriage,8,21299,9.97
zero,4,21278,9.97
performed,9,21262,9.96
moral,5,21254,9.96
spending,8,21249,9.96
newsletter,10,21238,9.96
Jose,4,21237,9.96
convert,7,21237,9.96
alien,5,21215,9.96
corp,4,21190,9.96
pure,4,21172,9.96
existence,9,21162,9.96
captain,7,21156,9.96
Patrick,7,21152,9.96
suddenly,8,21143,9.96
construction,12,21131,9.96
they've,7,21101,9.96
fantasy,7,21100,9.96
detailed,8,21090,9.96
impact,6,21077,9.96
flow,4,21063,9.96
Roger,5,21058,9.96
detail,6,21053,9.95
Rick,4,21027,9.95
recognize,9,21023,9.95
warm,4,21018,9.95
parties,7,21017,9.95
Israel,6,21007,9.95
discussed,9,21002,9.95
interactive,11,20998,9.95
ain't,5,20992,9.95
careful,7,20979,9.95
helped,6,20968,9.95
votes,5,20959,9.95
authors,7,20952,9.95
educational,11,20906,9.95
audience,8,20905,9.95
selected,8,20861,9.95
argue,5,20857,9.95
kid,3,20833,9.94
Ontario,7,20828,9.94
recording,9,20808,9.94
noise,5,20803,9.94
register,8,20789,9.94
kinds,5,20788,9.94
tag,3,20783,9.94
purchased,9,20775,9.94
intelligent,11,20769,9.94
glass,5,20768,9.94
variable,8,20715,9.94
greatest,8,20710,9.94
forever,7,20701,9.94
concerning,10,20698,9.94
billion,7,20698,9.94
challenge,9,20677,9.94
publication,11,20664,9.94
cancel,6,20643,9.94
attitude,8,20636,9.93
printed,7,20613,9.93
Monday,6,20612,9.93
highest,7,20611,9.93
carefully,9,20607,9.93
chips,5,20592,9.93
combination,11,20582,9.93
containing,10,20558,9.93
Barry,5,20538,9.93
weren't,7,20532,9.93
hopefully,9,20531,9.93
foundation,10,20531,9.93
welfare,7,20499,9.93
regardless,10,20496,9.93
raised,6,20466,9.93
interview,9,20464,9.93
replaced,8,20454,9.93
leaders,7,20453,9.93
cycle,5,20451,9.93
literature,10,20438,9.93
assistance,10,20429,9.92
warned,6,20428,9.92
vision,6,20427,9.92
arm,3,20427,9.92
critical,8,20425,9.92
bother,6,20419,9.92
curious,7,20418,9.92
Scientology,11,20412,9.92
Louis,5,20387,9.92
lies,4,20384,9.92
extended,8,20378,9.92
consideration,13,20376,9.92
hotel,5,20364,9.92
Virginia,8,20353,9.92
pacific,7,20324,9.92
Toronto,7,20291,9.92
keeps,5,20279,9.92
joke,4,20262,9.92
supporting,10,20225,9.91
politics,8,20224,9.91
elemental,9,20217,9.91
snow,4,20209,9.91
password,8,20193,9.91
edit,4,20183,9.91
Andy,4,20181,9.91
rid,3,20179,9.91
extension,9,20176,9.91
progress,8,20169,9.91
picked,6,20151,9.91
avenue,6,20151,9.91
Christ,6,20146,9.91
obtained,8,20137,9.91
reverse,7,20132,9.91
hence,5,20117,9.91
commission,10,20087,9.91
Phil,4,20084,9.91
feed,4,20084,9.91
lotus,5,20082,9.91
lived,5,20075,9.91
discovered,10,20066,9.91
signature,9,20062,9.91
click,5,20057,9.91
August,6,20056,9.91
Ohio,4,20023,9.9
shipped,7,20015,9.9
solve,5,20011,9.9
trading,7,19998,9.9
alive,5,19998,9.9
concern,7,19989,9.9
largest,7,19979,9.9
fault,5,19968,9.9
profit,6,19954,9.9
char,4,19943,9.9
employees,9,19940,9.9
they'll,7,19922,9.9
circle,6,19887,9.9
October,7,19882,9.9
Greek,5,19881,9.9
kick,4,19877,9.9
sir,3,19872,9.9
drink,5,19872,9.9
becoming,8,19871,9.9
violence,8,19852,9.9
leaves,6,19852,9.9
storm,5,19846,9.9
influence,9,19809,9.89
liberal,7,19800,9.89
sky,3,19795,9.89
medicine,8,19795,9.89
expert,6,19795,9.89
philosophy,10,19790,9.89
taste,5,19781,9.89
measure,7,19777,9.89
covers,6,19777,9.89
components,10,19775,9.89
mix,3,19759,9.89
core,4,19755,9.89
presented,9,19752,9.89
industrial,10,19750,9.89
weapon,6,19739,9.89
panel,5,19722,9.89
trial,5,19700,9.89
shut,4,19700,9.89
electric,8,19671,9.89
seek,4,19663,9.89
Jerry,5,19659,9.89
moves,5,19643,9.89
constructed,11,19640,9.89
fellow,6,19637,9.89
Adam,4,19626,9.88
marvel,6,19626,9.88
criminal,8,19615,9.88
busy,4,19614,9.88
font,4,19610,9.88
favor,5,19604,9.88
storage,7,19600,9.88
utilities,9,19594,9.88
postscript,10,19587,9.88
herself,7,19586,9.88
pattern,7,19583,9.88
Austin,6,19579,9.88
rod,3,19565,9.88
introduction,12,19554,9.88
developers,10,19543,9.88
miller,6,19538,9.88
exercise,8,19538,9.88
spleen,6,19535,9.88
strongly,8,19522,9.88
attached,8,19517,9.88
writers,7,19496,9.88
historical,10,19495,9.88
brief,5,19495,9.88
daughter,8,19485,9.88
nuclear,7,19479,9.88
sciences,8,19471,9.88
hospital,8,19468,9.88
legends,7,19447,9.88
Doug,4,19444,9.88
acts,4,19423,9.87
factory,7,19414,9.87
belief,6,19406,9.87
happening,9,19399,9.87
dry,3,19382,9.87
pointed,7,19379,9.87
wheel,5,19368,9.87
tight,5,19366,9.87
bridge,6,19356,9.87
environmental,13,19350,9.87
push,4,19347,9.87
superior,8,19327,9.87
rose,4,19326,9.87
yellow,6,19319,9.87
uncommon,8,19316,9.87
chaos,5,19314,9.87
fallen,6,19300,9.87
excuse,6,19298,9.87
plays,5,19267,9.87
dropped,7,19263,9.87
empty,5,19261,9.87
cultural,8,19229,9.86
wave,4,19212,9.86
strategy,8,19202,9.86
fiction,7,19200,9.86
statistics,10,19190,9.86
iron,4,19187,9.86
motion,6,19183,9.86
husband,7,19172,9.86
matters,7,19164,9.86
developer,9,19163,9.86
conversion,10,19159,9.86
bigger,6,19124,9.86
membership,10,19118,9.86
organ,5,19107,9.86
crash,5,19106,9.86
spot,4,19103,9.86
fingers,7,19103,9.86
district,8,19101,9.86
creative,8,19097,9.86
eastern,7,19095,9.86
murder,6,19075,9.86
medium,6,19072,9.86
bird,4,19070,9.86
tired,5,19063,9.86
steps,5,19058,9.86
Russia,6,19055,9.86
species,7,19051,9.85
turning,7,19045,9.85
visa,4,19037,9.85
executive,9,19037,9.85
desired,7,19025,9.85
chief,5,19007,9.85
square,6,19004,9.85
previously,10,19000,9.85
proposal,8,18999,9.85
Michigan,8,18979,9.85
personnel,9,18978,9.85
hundred,7,18969,9.85
wearing,7,18958,9.85
blast,5,18943,9.85
evening,7,18925,9.85
officer,7,18922,9.85
filled,6,18920,9.85
gateway,7,18914,9.85
ended,5,18912,9.85
reviews,7,18903,9.85
anon,4,18879,9.85
den,3,18869,9.85
leads,5,18853,9.84
labor,5,18853,9.84
claimed,7,18853,9.84
delete,6,18824,9.84
workers,7,18819,9.84
people's,8,18811,9.84
November,8,18740,9.84
opposed,7,18736,9.84
exception,9,18729,9.84
publications,12,18728,9.84
weekly,6,18719,9.84
affect,6,18690,9.84
fail,4,18678,9.84
plane,5,18677,9.84
closer,6,18665,9.83
mental,6,18663,9.83
dust,4,18645,9.83
listening,9,18642,9.83
afford,6,18642,9.83
graduate,8,18640,9.83
ordered,7,18637,9.83
bottle,6,18633,9.83
elsewhere,9,18631,9.83
combat,6,18625,9.83
taught,6,18606,9.83
worldwide,9,18597,9.83
chair,5,18589,9.83
postage,7,18563,9.83
aid,3,18556,9.83
Alex,4,18548,9.83
walking,7,18531,9.83
Ted,3,18514,9.83
threat,6,18510,9.83
fees,4,18502,9.83
Colorado,8,18474,9.82
skill,5,18471,9.82
stands,6,18459,9.82
rev,3,18429,9.82
numerous,8,18429,9.82
architecture,12,18428,9.82
camera,6,18427,9.82
steel,5,18414,9.82
math,4,18404,9.82
finish,6,18398,9.82
magazines,9,18395,9.82
coffee,6,18382,9.82
loved,5,18375,9.82
baseball,8,18372,9.82
bugs,4,18337,9.82
relative,8,18302,9.81
hidden,6,18294,9.81
diamond,7,18291,9.81
custom,6,18290,9.81
Dallas,6,18290,9.81
knight,6,18286,9.81
suit,4,18276,9.81
powers,6,18275,9.81
loaded,6,18267,9.81
lock,4,18221,9.81
granted,7,18221,9.81
practical,9,18212,9.81
platforms,9,18210,9.81
cancer,6,18210,9.81
shared,6,18209,9.81
dates,5,18208,9.81
ancient,7,18204,9.81
returns,7,18202,9.81
unlike,6,18198,9.81
logical,7,18189,9.81
angel,5,18184,9.81
compression,11,18176,9.81
participate,11,18155,9.81
families,8,18151,9.81
Seattle,7,18149,9.81
mount,5,18145,9.81
professor,9,18143,9.81
degrees,7,18124,9.8
saved,5,18101,9.8
manage,6,18086,9.8
confused,8,18084,9.8
dedicated,9,18079,9.8
constant,8,18068,9.8
brothers,8,18042,9.8
sec,3,18033,9.8
accounts,8,18019,9.8
processes,9,18018,9.8
forgot,6,18013,9.8
Houston,7,17989,9.8
carried,7,17976,9.8
citizen,7,17961,9.8
ships,5,17949,9.8
biggest,7,17942,9.79
answered,8,17937,9.79
allocated,9,17925,9.79
Columbia,8,17921,9.79
clue,4,17913,9.79
Republican,10,17910,9.79
cities,6,17909,9.79
buyer,5,17902,9.79
remains,7,17899,9.79
heads,5,17890,9.79
associates,10,17884,9.79
filter,6,17869,9.79
schedule,8,17857,9.79
hoping,6,17855,9.79
leg,3,17838,9.79
nick,4,17831,9.79
delivery,8,17823,9.79
harder,6,17821,9.79
latter,6,17819,9.79
mad,3,17811,9.79
hang,4,17803,9.79
rain,4,17801,9.79
lucky,5,17795,9.79
football,8,17788,9.79
smart,5,17782,9.79
Keith,5,17774,9.79
Georgia,7,17770,9.79
cats,4,17763,9.78
qualified,9,17754,9.78
fund,4,17735,9.78
consultant,10,17731,9.78
served,6,17730,9.78
flash,5,17727,9.78
ensure,6,17712,9.78
registered,10,17698,9.78
surprise,8,17697,9.78
Matthew,7,17697,9.78
terry,5,17681,9.78
royal,5,17664,9.78
route,5,17655,9.78
dealer,6,17655,9.78
codes,5,17655,9.78
searching,9,17654,9.78
solo,4,17635,9.78
academic,8,17622,9.78
owned,5,17614,9.78
directed,8,17588,9.77
republic,8,17582,9.77
desert,6,17569,9.77
partner,7,17565,9.77
expression,10,17559,9.77
circuit,7,17555,9.77
shadow,6,17543,9.77
golden,6,17531,9.77
crazy,5,17520,9.77
surely,6,17518,9.77
suggestion,10,17517,9.77
friendly,8,17486,9.77
famous,6,17485,9.77
tank,4,17481,9.77
queen,5,17473,9.77
eight,5,17470,9.77
universal,9,17449,9.77
sin,3,17449,9.77
September,9,17448,9.77
tips,4,17439,9.77
elements,8,17438,9.77
destroy,7,17424,9.77
aside,5,17413,9.76
connections,11,17412,9.76
realized,8,17381,9.76
talked,6,17380,9.76
ages,4,17369,9.76
bands,5,17342,9.76
tough,5,17334,9.76
till,4,17332,9.76
blame,5,17326,9.76
assembly,8,17309,9.76
zone,4,17300,9.76
consultants,11,17285,9.76
plot,4,17284,9.76
aircraft,8,17225,9.75
primarily,9,17217,9.75
origin,6,17202,9.75
seat,4,17184,9.75
sad,3,17183,9.75
helping,7,17164,9.75
sister,6,17160,9.75
technique,9,17147,9.75
films,5,17142,9.75
Africa,6,17142,9.75
liberty,7,17135,9.75
weak,4,17123,9.75
mainly,6,17121,9.75
compiled,8,17113,9.75
subscription,12,17103,9.75
forest,6,17098,9.75
maintenance,11,17088,9.75
ideal,5,17084,9.75
comic,5,17078,9.75
bass,4,17075,9.75
plants,6,17049,9.74
cheaper,7,17047,9.74
extensive,9,17033,9.74
electrical,10,17026,9.74
tested,6,17025,9.74
pat,3,17025,9.74
category,8,17024,9.74
sheet,5,17017,9.74
feelings,8,17008,9.74
controls,8,17007,9.74
jay,3,17005,9.74
competitive,11,17005,9.74
artist,6,17005,9.74
analyst,7,16990,9.74
democracy,9,16987,9.74
reliable,8,16975,9.74
conflict,8,16956,9.74
teacher,7,16947,9.74
limits,6,16946,9.74
regularly,9,16940,9.74
electronics,11,16925,9.74
supreme,7,16923,9.74
guarantee,9,16923,9.74
blow,4,16920,9.74
conservative,12,16905,9.74
artists,7,16884,9.73
senate,6,16880,9.73
compile,7,16873,9.73
pleasure,8,16862,9.73
automatic,9,16853,9.73
disc,4,16844,9.73
Dennis,6,16842,9.73
absolute,8,16840,9.73
Christians,10,16833,9.73
fell,4,16827,9.73
proven,6,16826,9.73
newspaper,9,16824,9.73
quit,4,16823,9.73
enemy,5,16802,9.73
border,6,16800,9.73
Asian,5,16780,9.73
abortion,8,16764,9.73
tracks,6,16757,9.73
sword,5,16752,9.73
millions,8,16751,9.73
phase,5,16742,9.73
officials,9,16742,9.73
static,6,16740,9.73
flames,6,16718,9.72
reaction,8,16706,9.72
allowing,8,16704,9.72
recorded,8,16695,9.72
entertainment,13,16689,9.72
generate,8,16688,9.72
figured,7,16686,9.72
dynamic,7,16682,9.72
ford,4,16671,9.72
legislation,11,16658,9.72
comparison,10,16657,9.72
smoke,5,16648,9.72
proud,5,16648,9.72
feels,5,16639,9.72
gate,4,16638,9.72
zip,3,16636,9.72
eating,6,16624,9.72
opposite,8,16623,9.72
laboratory,10,16623,9.72
wire,4,16615,9.72
watched,7,16607,9.72
quoted,6,16587,9.72
recognized,10,16583,9.72
manuals,7,16579,9.72
creature,8,16556,9.71
fuel,4,16552,9.71
rice,4,16535,9.71
tables,6,16525,9.71
thru,4,16480,9.71
conclusion,10,16476,9.71
speaker,7,16473,9.71
wet,3,16466,9.71
quotes,6,16448,9.71
checking,8,16444,9.71
attacks,7,16440,9.71
bag,3,16427,9.71
referring,9,16419,9.71
continues,9,16412,9.71
asks,4,16409,9.71
beast,5,16393,9.7
receiving,9,16392,9.7
acceptable,10,16372,9.7
successfully,12,16370,9.7
ultimate,8,16369,9.7
feedback,8,16363,9.7
thousand,8,16355,9.7
evolution,9,16349,9.7
Illinois,8,16333,9.7
sub,3,16326,9.7
inch,4,16319,9.7
comfortable,11,16317,9.7
odd,3,16315,9.7
counter,7,16309,9.7
winning,7,16307,9.7
loop,4,16305,9.7
determined,10,16292,9.7
explained,9,16265,9.7
Susan,5,16261,9.7
strand,6,16260,9.7
heaven,6,16257,9.7
quantum,7,16245,9.7
empire,6,16228,9.69
capacity,8,16207,9.69
weird,5,16200,9.69
pool,4,16200,9.69
encourage,9,16191,9.69
treated,7,16187,9.69
specify,7,16160,9.69
essential,9,16147,9.69
approximately,13,16142,9.69
releases,8,16130,9.69
laser,5,16120,9.69
Craig,5,16119,9.69
channels,8,16104,9.69
strip,5,16096,9.69
procedures,10,16090,9.69
cell,4,16077,9.69
guard,5,16067,9.68
conversation,12,16064,9.68
bone,4,16063,9.68
spiritual,9,16030,9.68
likes,5,16026,9.68
strike,6,16025,9.68
pilot,5,16024,9.68
Simon,5,16021,9.68
acting,6,16012,9.68
hero,4,15998,9.68
vendors,7,15986,9.68
fortune,7,15978,9.68
extreme,7,15968,9.68
formats,7,15966,9.68
paint,5,15964,9.68
expansion,9,15963,9.68
representative,14,15950,9.68
Jackson,7,15948,9.68
Taylor,6,15940,9.68
camp,4,15938,9.68
folder,6,15935,9.68
relations,9,15931,9.68
Howard,6,15931,9.68
motif,5,15926,9.68
scheme,6,15924,9.68
identify,8,15924,9.68
rear,4,15895,9.67
vice,4,15887,9.67
reform,6,15887,9.67
sport,5,15869,9.67
hits,4,15857,9.67
boat,4,15857,9.67
tickets,7,15851,9.67
escape,6,15846,9.67
primed,6,15838,9.67
bin,3,15831,9.67
ports,5,15823,9.67
guidelines,10,15823,9.67
attempts,8,15813,9.67
mom,3,15795,9.67
plug,4,15792,9.67
regional,8,15782,9.67
broadcast,9,15776,9.67
factors,7,15769,9.67
studio,6,15767,9.67
column,6,15765,9.67
tournament,10,15764,9.67
tiny,4,15764,9.67
maintained,10,15764,9.67
occasionally,12,15763,9.67
puts,4,15760,9.67
award,5,15755,9.66
accounting,10,15754,9.66
ourselves,9,15715,9.66
manufacturing,13,15715,9.66
module,6,15712,9.66
losing,6,15711,9.66
passing,7,15708,9.66
fourth,6,15701,9.66
portion,7,15690,9.66
causing,7,15663,9.66
trick,5,15658,9.66
stable,6,15640,9.66
he'd,4,15631,9.66
Alexander,9,15618,9.66
impression,10,15611,9.66
monster,7,15607,9.66
fresh,5,15597,9.65
sector,6,15589,9.65
auto,4,15581,9.65
Carl,4,15571,9.65
reserved,8,15567,9.65
pointer,7,15566,9.65
treat,5,15558,9.65
replacement,11,15552,9.65
regard,6,15551,9.65
usage,5,15549,9.65
Wilson,6,15546,9.65
achieve,7,15544,9.65
introduced,10,15526,9.65
protein,7,15521,9.65
aspect,6,15514,9.65
opponent,8,15498,9.65
sweet,5,15494,9.65
typically,9,15489,9.65
convention,10,15478,9.65
valuable,8,15458,9.65
shift,5,15458,9.65
implement,9,15447,9.65
essentially,11,15440,9.64
Ada,3,15432,9.64
interrupt,9,15428,9.64
Fred,4,15428,9.64
satellite,9,15422,9.64
null,4,15410,9.64
completed,9,15403,9.64
decisions,9,15390,9.64
marked,6,15384,9.64
stored,6,15381,9.64
jersey,6,15381,9.64
workshop,8,15377,9.64
bomb,4,15377,9.64
Phoenix,7,15367,9.64
hunt,4,15346,9.64
toys,4,15328,9.64
gear,4,15326,9.64
chemical,8,15316,9.64
markets,7,15312,9.64
Lewis,5,15312,9.64
flag,4,15311,9.64
entered,7,15287,9.63
pit,3,15282,9.63
lands,5,15277,9.63
shots,5,15267,9.63
mosaic,6,15261,9.63
salt,4,15258,9.63
generated,9,15253,9.63
crew,4,15253,9.63
defend,6,15251,9.63
wing,4,15248,9.63
principle,9,15244,9.63
reflect,7,15241,9.63
breed,5,15241,9.63
blank,5,15240,9.63
falls,5,15232,9.63
sections,8,15230,9.63
improved,8,15213,9.63
milk,4,15195,9.63
episodes,8,15188,9.63
Cambridge,9,15186,9.63
ought,5,15181,9.63
ignored,7,15181,9.63
reduced,7,15171,9.63
routine,7,15144,9.63
informed,8,15141,9.63
increasing,10,15136,9.62
era,3,15136,9.62
mixed,5,15134,9.62
policies,8,15119,9.62
wed,3,15098,9.62
racing,6,15076,9.62
adapter,7,15074,9.62
God's,5,15069,9.62
enterprise,10,15069,9.62
element,7,15056,9.62
lights,6,15048,9.62
translation,11,15030,9.62
incredible,10,15016,9.62
lay,3,15006,9.62
duty,4,14997,9.62
sentence,8,14984,9.61
circumstances,13,14980,9.61
digested,8,14971,9.61
assistant,9,14971,9.61
extent,6,14969,9.61
walked,6,14968,9.61
egg,3,14967,9.61
tongue,6,14963,9.61
Kelly,5,14963,9.61
issued,6,14961,9.61
committed,9,14961,9.61
chosen,6,14953,9.61
tries,5,14950,9.61
virtually,9,14939,9.61
photos,6,14926,9.61
clubs,5,14924,9.61
it'll,5,14916,9.61
shooting,8,14908,9.61
lying,5,14906,9.61
secretary,9,14898,9.61
dice,4,14894,9.61
signs,5,14885,9.61
tie,3,14878,9.61
principles,10,14878,9.61
meat,4,14861,9.61
drain,5,14860,9.61
neck,4,14841,9.61
prompt,6,14839,9.61
carrying,8,14835,9.6
grade,5,14834,9.6
everywhere,10,14825,9.6
situations,10,14824,9.6
tone,4,14823,9.6
guest,5,14822,9.6
democratic,10,14820,9.6
objective,9,14818,9.6
pet,3,14817,9.6
confidence,10,14812,9.6
goals,5,14806,9.6
belong,6,14806,9.6
parent,6,14797,9.6
lips,4,14796,9.6
lyrics,6,14794,9.6
Jonathan,8,14792,9.6
agents,6,14778,9.6
hadn't,6,14758,9.6
rise,4,14753,9.6
beliefs,7,14753,9.6
joint,5,14742,9.6
refuse,6,14723,9.6
stations,8,14721,9.6
Allen,5,14718,9.6
protected,9,14716,9.6
postal,6,14716,9.6
nine,4,14715,9.6
begins,6,14702,9.6
sufficient,10,14700,9.6
Thursday,8,14696,9.6
musical,7,14696,9.6
Todd,4,14694,9.6
trees,5,14693,9.6
believed,8,14688,9.59
leadership,10,14685,9.59
controlled,10,14683,9.59
paragraph,9,14678,9.59
fragment,8,14674,9.59
patient,7,14671,9.59
speakers,8,14660,9.59
stack,5,14654,9.59
disclaimer,10,14638,9.59
animation,9,14638,9.59
packet,6,14636,9.59
Paris,5,14626,9.59
tube,4,14619,9.59
destroyed,9,14618,9.59
concepts,8,14617,9.59
consumer,8,14613,9.59
tip,3,14596,9.59
attorney,8,14590,9.59
Pascal,6,14581,9.59
tomorrow,8,14556,9.59
bonus,5,14547,9.59
perspective,11,14529,9.58
Oregon,6,14518,9.58
wishes,6,14513,9.58
drawing,7,14502,9.58
exciting,8,14495,9.58
dean,4,14488,9.58
birds,5,14487,9.58
formed,6,14486,9.58
Joel,4,14485,9.58
Edward,6,14477,9.58
Italian,7,14476,9.58
carrier,7,14458,9.58
fed,3,14446,9.58
breath,6,14432,9.58
priest,6,14417,9.58
coverage,8,14414,9.58
blocks,6,14411,9.58
icon,4,14402,9.58
scientists,10,14397,9.57
stood,5,14395,9.57
holds,5,14390,9.57
promise,7,14380,9.57
newer,5,14374,9.57
specified,9,14360,9.57
Ryan,4,14349,9.57
referred,8,14346,9.57
theme,5,14345,9.57
tissue,6,14342,9.57
clothes,7,14338,9.57
wow,3,14332,9.57
interpretation,14,14329,9.57
sight,5,14322,9.57
patients,8,14318,9.57
collect,7,14307,9.57
avail,5,14304,9.57
threads,7,14302,9.57
bodies,6,14302,9.57
integrated,10,14299,9.57
sugar,5,14292,9.57
huh,3,14281,9.57
temperature,11,14257,9.57
thin,4,14257,9.57
kingdom,7,14254,9.56
bandwidth,9,14252,9.56
availability,12,14245,9.56
sharing,7,14243,9.56
alcohol,7,14209,9.56
retail,6,14205,9.56
facility,8,14204,9.56
subjects,8,14202,9.56
secure,6,14198,9.56
debt,4,14192,9.56
discussing,10,14186,9.56
instruction,11,14183,9.56
occurs,6,14174,9.56
entries,7,14173,9.56
pounds,6,14163,9.56
manufacturer,12,14162,9.56
digest,6,14159,9.56
comprehensive,13,14148,9.56
draft,5,14141,9.56
lane,4,14139,9.56
bulletin,8,14131,9.56
ending,6,14130,9.56
ticket,6,14121,9.56
Republicans,11,14119,9.56
Wayne,5,14115,9.55
deals,5,14115,9.55
businesses,10,14115,9.55
oriented,8,14100,9.55
dirty,5,14094,9.55
broke,5,14085,9.55
youth,5,14084,9.55
inches,6,14082,9.55
combined,8,14078,9.55
hide,4,14077,9.55
sessions,8,14075,9.55
operator,8,14061,9.55
editing,7,14060,9.55
locations,9,14055,9.55
buffer,6,14035,9.55
incident,8,14028,9.55
shield,6,14024,9.55
relationships,13,14022,9.55
installing,10,14022,9.55
requirement,11,14019,9.55
scan,4,14016,9.55
row,3,14013,9.55
nasty,5,14007,9.55
transmission,12,14006,9.55
effectively,11,14005,9.55
motor,5,13981,9.55
closely,7,13969,9.54
swap,4,13962,9.54
fox,3,13959,9.54
commander,9,13958,9.54
planned,7,13957,9.54
they'd,6,13950,9.54
minds,5,13940,9.54
offices,7,13933,9.54
nose,4,13919,9.54
Clark,5,13918,9.54
marketplace,11,13914,9.54
photo,5,13910,9.54
Pete,4,13906,9.54
nights,6,13905,9.54
campus,6,13903,9.54
Asia,4,13885,9.54
contained,9,13881,9.54
cap,3,13881,9.54
manufacturers,13,13867,9.54
tradition,9,13864,9.54
Zealand,7,13848,9.54
Ann,3,13837,9.54
cutting,7,13819,9.53
suck,4,13814,9.53
Taiwan,6,13811,9.53
turkey,6,13802,9.53
facilities,10,13801,9.53
hunting,7,13796,9.53
requested,9,13787,9.53
indicated,9,13785,9.53
vast,4,13766,9.53
jazz,4,13759,9.53
finance,7,13752,9.53
Tuesday,7,13750,9.53
exposure,8,13747,9.53
eh,2,13746,9.53
rarely,6,13743,9.53
Lisa,4,13730,9.53
bright,6,13726,9.53
normalization,13,13719,9.53
vehicle,7,13714,9.53
remaining,9,13693,9.52
fool,4,13690,9.52
hierarchy,9,13677,9.52
capabilities,12,13675,9.52
sum,3,13672,9.52
today's,7,13651,9.52
privacy,7,13645,9.52
desk,4,13624,9.52
acid,4,13610,9.52
crisis,6,13610,9.52
chose,5,13608,9.52
arrived,7,13606,9.52
killer,6,13599,9.52
instruments,11,13592,9.52
marks,5,13591,9.52
courses,7,13587,9.52
blind,5,13559,9.51
choices,7,13552,9.51
cook,4,13551,9.51
branch,6,13544,9.51
array,5,13542,9.51
replied,7,13533,9.51
Wednesday,9,13529,9.51
understood,10,13517,9.51
useless,7,13510,9.51
survive,7,13504,9.51
smooth,6,13504,9.51
constantly,10,13504,9.51
pointers,8,13503,9.51
concerns,8,13502,9.51
repair,6,13501,9.51
agencies,8,13501,9.51
lung,4,13500,9.51
revolution,10,13497,9.51
reads,5,13484,9.51
orange,6,13483,9.51
establish,9,13482,9.51
crimes,6,13471,9.51
legend,6,13459,9.51
dictionary,10,13452,9.51
laugh,5,13449,9.51
responded,9,13446,9.51
wise,4,13444,9.51
angry,5,13441,9.51
crystal,7,13437,9.51
talks,5,13419,9.5
enjoyed,7,13416,9.5
consistent,10,13407,9.5
tonight,7,13398,9.5
temple,6,13396,9.5
minority,8,13393,9.5
integration,11,13383,9.5
fashion,7,13373,9.5
sometime,8,13368,9.5
naked,5,13367,9.5
emergency,9,13361,9.5
dual,4,13358,9.5
banks,5,13353,9.5
massive,7,13351,9.5
portable,8,13348,9.5
healthy,7,13347,9.5
widely,6,13343,9.5
matrix,6,13335,9.5
efficient,9,13335,9.5
fighter,7,13334,9.5
annoying,8,13329,9.5
falling,7,13324,9.5
vampire,7,13320,9.5
equally,7,13304,9.5
demonic,7,13300,9.5
balls,5,13293,9.49
implemented,11,13291,9.49
transcribed,11,13284,9.49
doc,3,13265,9.49
cry,3,13252,9.49
prison,6,13247,9.49
village,7,13243,9.49
percentage,10,13238,9.49
experiment,10,13238,9.49
responding,10,13236,9.49
applies,7,13235,9.49
distribute,10,13231,9.49
pays,4,13224,9.49
lately,6,13220,9.49
chi,3,13211,9.49
armor,5,13211,9.49
Britain,7,13200,9.49
Anthony,7,13191,9.49
patches,7,13190,9.49
mess,4,13190,9.49
bringing,8,13171,9.49
capability,10,13162,9.49
pot,3,13161,9.49
conspiracy,10,13156,9.48
employers,9,13155,9.48
slave,5,13149,9.48
mechanism,9,13144,9.48
federation,10,13112,9.48
amounts,7,13100,9.48
contribute,10,13098,9.48
quiet,5,13086,9.48
deny,4,13082,9.48
assist,6,13081,9.48
wine,4,13077,9.48
sells,5,13074,9.48
Gordon,6,13071,9.48
delay,5,13068,9.48
Australian,10,13068,9.48
pink,4,13066,9.48
organized,9,13053,9.48
indicates,9,13038,9.48
slight,6,13036,9.48
lightning,9,13033,9.48
dinner,6,13031,9.48
supposedly,10,13030,9.48
intent,6,13020,9.47
slower,6,13019,9.47
launch,6,13019,9.47
chest,5,13012,9.47
appearance,10,12998,9.47
crowd,5,12988,9.47
graphic,7,12979,9.47
dial,4,12970,9.47
heck,4,12963,9.47
transport,9,12959,9.47
fails,5,12958,9.47
bond,4,12955,9.47
